ID NO,Name,Title,Date,Venue,Region,Oppose/Support,Party Affiliation,IDNO,Name,Month,Day ,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
1057,Andrews,Representative,24-Jun-11,House,Libya,0,D,1057,Andrews,6,24,11,296,21.14,26.35,76.01,49.66,13.51,8.11,4.05,2.03,0,1.01,1.01,5.41,8.78,14.53,7.77,0.68,12.5,1.35,5.07,7.43,6.76,2.7,0.68,1.35,0.34,8.45,0,0,1.69,6.42,2.7,3.72,0.68,1.69,0.34,19.93,4.73,1.69,2.7,1.69,0.34,2.36,4.05,4.05,0.34,0,0.34,0,0.68,0.68,0,0.34,0,9.8,1.69,3.72,4.39,1.35,2.36,0.34,0,0.68,0,0.68,0,0.34,0,5.41,7.43,0,0.34,0.34,0,0.34,0,3.72,0.34,0,18.24
1033,Bartlett,Representative,3-Jun-11,House,Libya,0,R,1033,Bartlett,6,3,11,207,18.82,25.6,75.85,50.24,15.46,9.66,6.76,2.42,0,0,0.48,5.8,5.31,13.53,7.73,2.42,7.73,0.97,2.9,11.11,4.83,2.42,1.93,0,0,7.25,0.48,0,1.45,6.28,1.93,3.86,0,3.86,0,16.91,2.42,1.45,1.93,0.97,0.97,0.97,6.28,2.9,0,0,0,0,0,0,0,0,0,12.08,1.45,6.28,4.35,2.9,2.9,0.48,0.97,1.45,0,2.42,0,0,0,7.25,4.35,0.48,0,0,0,0.48,0,3.86,0,0,16.43
997,Berman,Representative,3-Jun-11,House,Libya,1,D,997,Berman,6,3,11,1924,15.39,33.21,76.51,48.75,11.49,6.29,2.6,2.81,0.21,0.36,0.31,5.2,7.8,11.43,7.22,0.88,7.74,1.2,2.91,12.99,4.73,1.77,2.03,0.47,0,7.85,0.05,0.52,1.25,4.63,2.55,2.08,0.36,0.94,0.36,18.09,3.64,2.6,1.72,1.46,0.88,2.03,4.94,2.23,1.25,0.21,0.94,0.1,0.88,0.36,0.52,0,0,9.41,1.61,4.99,2.86,2.81,3.53,1.14,0.42,0.16,0.1,0.47,0.1,0.16,0.05,7.33,5.15,0.21,0.21,0.31,0,0.31,0,3.07,0.16,0,16.89
1067,Berman,Representative,24-Jun-11,House,Libya,1,D,1067,Berman,6,24,11,830,16.6,28.67,80.48,51.45,12.89,6.14,1.33,2.65,0.72,0.6,0.84,6.75,9.04,11.69,7.83,0.96,8.31,0.84,2.77,12.17,5.3,1.81,1.93,0.36,0,9.4,0,0.36,1.33,5.06,2.65,2.41,0.12,0.84,0.84,17.95,2.77,2.17,1.45,2.53,1.08,2.05,5.18,3.13,1.57,0.48,1.08,0,0.24,0,0.24,0,0,10.48,2.17,4.94,2.89,2.65,4.34,2.53,0.72,0.24,0.24,0.24,0,0,0.12,6.14,5.18,0.36,0.24,0.24,0,0.36,0,3.13,0,0,15.66
1024,Blumenauer,Representative,3-Jun-11,House,Libya,1,D,1024,Blumenauer,6,3,11,337,24.07,34.72,71.22,40.65,8.31,5.04,1.78,2.37,0,0,0.89,3.26,6.82,9.79,5.64,1.78,5.93,1.48,2.67,10.09,3.86,1.48,2.37,0.3,0,8.61,0,0,1.48,6.53,5.04,1.48,0,0.59,0.59,17.21,2.37,2.37,1.78,1.19,2.67,2.37,3.86,2.08,0.59,0,0.59,0,0.59,0.3,0,0,0.3,9.79,1.48,4.45,3.56,3.86,3.56,0.89,0.3,0.3,0,0.59,0,0,0,6.82,6.82,0,0,0,0,0.89,0,0.3,0,0,14.84
1027,Boehner,Representative,3-Jun-11,House,Libya,,R,1027,Boehner,6,3,11,448,17.92,28.35,73.44,49.33,14.06,8.04,3.12,4.02,0,0.89,0,6.03,8.04,10.94,7.37,1.79,5.8,1.56,2.01,11.61,5.8,1.34,0.22,1.12,0,10.71,0,0.67,2.23,2.01,1.56,0.45,0,0.22,0,14.96,4.24,1.56,1.12,1.56,0.89,1.34,4.02,1.34,0.67,0.22,0.45,0,0.45,0.22,0.22,0,0,12.95,0.89,8.71,3.79,3.35,4.02,0.45,0.22,0.22,0,0.22,0,0,0,5.58,4.91,0,0.22,0,0,0,0,3.12,0.22,0,14.29
1066,Boehner,Representative,24-Jun-11,House,Libya,,R,1066,Boehner,6,24,11,452,16.14,33.41,78.76,48.23,13.5,5.75,1.99,1.77,0.22,1.77,0,7.74,7.96,11.28,7.08,1.55,7.08,1.33,4.42,9.29,5.97,2.21,0.88,0,0,7.52,0,0.44,1.55,5.75,2.65,3.1,0.22,1.77,0.88,15.93,2.65,2.65,2.43,1.99,1.11,1.77,3.1,2.43,0.88,0.22,0.66,0,0.22,0,0.22,0,0,10.18,1.99,4.2,4.2,4.42,5.97,0.88,0.88,1.11,0,0.88,0,0.22,0.22,5.31,8.19,0.44,0,1.11,0,0.22,0,2.88,0,0,18.14
996,Burton,Representative,3-Jun-11,House,Libya,0,R,996,Burton,6,3,11,907,18.9,24.59,76.85,53.8,11.36,5.51,1.87,2.21,0,1.1,0.33,5.84,10.25,12.79,9.15,1.76,8.16,1.1,3.42,13.12,6.17,2.54,1.65,0.88,0,7.94,0,0,1.32,3.75,1.65,2.09,0.22,1.21,0,16.76,1.98,1.76,2.09,1.65,0.77,0.88,4.74,3.97,1.32,0.11,1.21,0,0.22,0.22,0,0,0,12.68,2.54,6.62,3.42,1.54,3.09,0.22,0.33,0.22,0,0.88,0,0,0,5.95,5.4,0.22,0,0.11,0,0.55,0,2.76,0,0.22,15.21
1062,Burton,Representative,24-Jun-11,House,Libya,0,R,1062,Burton,6,24,11,911,18.59,21.95,79.8,55.1,13.72,7.79,0.99,4.61,0.22,1.65,0.33,5.93,8.56,16.9,9.99,3.18,10.1,1.43,3.18,12.73,7.14,2.31,1.21,0.88,0.11,12.07,0.33,0.11,1.54,5.71,2.31,3.4,0.22,2.52,0.11,18.33,1.43,0.99,3.07,1.98,0.88,0.44,8.23,3.62,1.54,0.44,0.99,0.11,0.11,0,0.11,0,0,13.17,3.73,6.26,3.07,1.87,3.18,0.11,0.22,1.43,0.11,1.43,0,0.44,0,5.16,5.27,0,0.11,0.33,0,0,0,4.17,0,0.44,15.48
1015,Capuano,Representative,3-Jun-11,House,Libya,0,D,1015,Capuano,6,3,11,359,11.97,20.33,80.5,56.82,18.38,7.8,5.85,1.39,0.28,0,0.28,10.58,5.01,17.83,12.81,0.56,13.37,1.67,4.46,11.14,5.29,1.95,2.79,0.84,0,5.57,0,0,1.39,6.69,3.34,3.34,0.84,1.67,0,14.48,1.39,0.56,1.95,4.18,1.67,0.84,1.95,3.9,1.67,0.56,1.11,0,0,0,0,0,0,11.98,2.79,4.18,4.46,1.11,2.51,0,0,0,0,1.67,0.28,0.56,0,8.36,8.64,0,0,0,0,0,0,3.9,0,0,20.89
